EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-06-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STOCKHOLM, SWEDEN (STAID: 10)
Blended and updated with sources:30 36122
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    10, 36122,20200101,   35,    0
    10, 36122,20200102,   58,    0
    10, 36122,20200103,   54,    0
    10, 36122,20200104,   24,    0
    10, 36122,20200105,    1,    0
    10, 36122,20200106,   48,    0
    10, 36122,20200107,   55,    0
    10, 36122,20200108,   65,    0
    10, 36122,20200109,   39,    0
    10, 36122,20200110,   10,    0
    10, 36122,20200111,   12,    0
    10, 36122,20200112,   59,    0
    10, 36122,20200113,   26,    0
    10, 36122,20200114,   38,    0
    10, 36122,20200115,   78,    0
    10, 36122,20200116,   61,    0
    10, 36122,20200117,   48,    0
    10, 36122,20200118,   48,    0
    10, 36122,20200119,   31,    0
    10, 36122,20200120,   38,    0
    10, 36122,20200121,   68,    0
    10, 36122,20200122,   32,    0
    10, 36122,20200123,   15,    0
    10, 36122,20200124,   51,    0
    10, 36122,20200125,   21,    0
    10, 36122,20200126,   58,    0
    10, 36122,20200127,   48,    0
    10, 36122,20200128,   34,    0
    10, 36122,20200129,   33,    0
    10, 36122,20200130,   24,    0
    10, 36122,20200131,   30,    0
    10, 36122,20200201,   61,    0
    10, 36122,20200202,   38,    0
    10, 36122,20200203,    5,    0
    10, 36122,20200204,  -13,    0
    10, 36122,20200205,    5,    0
    10, 36122,20200206,    4,    0
    10, 36122,20200207,    1,    0
    10, 36122,20200208,   24,    0
    10, 36122,20200209,   45,    0
    10, 36122,20200210,   57,    0
    10, 36122,20200211,   40,    0
    10, 36122,20200212,   32,    0
    10, 36122,20200213,   10,    0
    10, 36122,20200214,    8,    0
    10, 36122,20200215,   38,    0
    10, 36122,20200216,   71,    0
    10, 36122,20200217,   66,    0
    10, 36122,20200218,   66,    0
    10, 36122,20200219,   45,    0
    10, 36122,20200220,   28,    0
    10, 36122,20200221,   57,    0
    10, 36122,20200222,   65,    0
    10, 36122,20200223,   52,    0
    10, 36122,20200224,   23,    0
    10, 36122,20200225,   14,    0
    10, 36122,20200226,    2,    0
    10, 36122,20200227,  -13,    0
    10, 36122,20200228,  -13,    0
    10, 36122,20200229,   11,    0
    10, 36122,20200301,   42,    0
    10, 36122,20200302,   44,    0
    10, 36122,20200303,   37,    0
    10, 36122,20200304,   21,    0
    10, 36122,20200305,   21,    0
    10, 36122,20200306,   20,    0
    10, 36122,20200307,   19,    0
    10, 36122,20200308,   45,    0
    10, 36122,20200309,   68,    0
    10, 36122,20200310,   50,    0
    10, 36122,20200311,   56,    0
    10, 36122,20200312,   49,    0
    10, 36122,20200313,   21,    0
    10, 36122,20200314,   -9,    0
    10, 36122,20200315,   20,    0
    10, 36122,20200316,   41,    0
    10, 36122,20200317,   57,    0
    10, 36122,20200318,   63,    0
    10, 36122,20200319,   55,    0
    10, 36122,20200320,   21,    0
    10, 36122,20200321,    0,    0
    10, 36122,20200322,    1,    0
    10, 36122,20200323,   28,    0
    10, 36122,20200324,   42,    0
    10, 36122,20200325,   70,    0
    10, 36122,20200326,   65,    0
    10, 36122,20200327,   62,    0
    10, 36122,20200328,   53,    0
    10, 36122,20200329,   13,    0
    10, 36122,20200330,    1,    0
    10, 36122,20200331,   34,    0
    10, 36122,20200401,   61,    0
    10, 36122,20200402,   46,    0
    10, 36122,20200403,   35,    0
    10, 36122,20200404,   38,    0
    10, 36122,20200405,   62,    0
    10, 36122,20200406,   92,    0
    10, 36122,20200407,   86,    0
    10, 36122,20200408,   98,    0
    10, 36122,20200409,   82,    0
    10, 36122,20200410,   56,    0
    10, 36122,20200411,   66,    0
    10, 36122,20200412,   88,    0
    10, 36122,20200413,   46,    0
    10, 36122,20200414,   51,    0
    10, 36122,20200415,  105,    0
    10, 36122,20200416,   88,    0
    10, 36122,20200417,   62,    0
    10, 36122,20200418,   59,    0
    10, 36122,20200419,   78,    0
    10, 36122,20200420,   97,    0
    10, 36122,20200421,  112,    0
    10, 36122,20200422,  111,    0
    10, 36122,20200423,  109,    0
    10, 36122,20200424,   79,    0
    10, 36122,20200425,   80,    0
    10, 36122,20200426,   69,    0
    10, 36122,20200427,   62,    0
    10, 36122,20200428,   29,    0
    10, 36122,20200429,   35,    0
    10, 36122,20200430,   44,    0
    10, 36122,20200501,   65,    0
    10, 36122,20200502,  104,    0
    10, 36122,20200503,  107,    0
    10, 36122,20200504,   78,    0
    10, 36122,20200505,   79,    0
    10, 36122,20200506,   98,    0
    10, 36122,20200507,   91,    0
    10, 36122,20200508,  111,    0
    10, 36122,20200509,   90,    0
    10, 36122,20200510,  108,    0
    10, 36122,20200511,   53,    0
    10, 36122,20200512,   58,    0
    10, 36122,20200513,   47,    0
    10, 36122,20200514,   64,    0
    10, 36122,20200515,   78,    0
    10, 36122,20200516,   76,    0
    10, 36122,20200517,   75,    0
    10, 36122,20200518,   83,    0
    10, 36122,20200519,   93,    0
    10, 36122,20200520,   86,    0
    10, 36122,20200521,  112,    0
    10, 36122,20200522,  123,    0
    10, 36122,20200523,   98,    0
    10, 36122,20200524,  123,    0
    10, 36122,20200525,  126,    0
    10, 36122,20200526,  162,    0
    10, 36122,20200527,  136,    0
    10, 36122,20200528,  128,    0
    10, 36122,20200529,  132,    0
    10, 36122,20200530,  142,    0
    10, 36122,20200531,  156,    0
    10, 36122,20200601,  196,    0
    10, 36122,20200602,  162,    0
    10, 36122,20200603,  141,    0
    10, 36122,20200604,  142,    0
    10, 36122,20200605,  138,    0
    10, 36122,20200606,  126,    0
    10, 36122,20200607,  148,    0
    10, 36122,20200608,  154,    0
    10, 36122,20200609,  171,    0
    10, 36122,20200610,  166,    0
    10, 36122,20200611,  173,    0
    10, 36122,20200612,  186,    0
    10, 36122,20200613,  184,    0
    10, 36122,20200614,  188,    0
    10, 36122,20200615,  191,    0
    10, 36122,20200616,  160,    0
    10, 36122,20200617,  158,    0
    10, 36122,20200618,  184,    0
    10, 36122,20200619,  210,    0
    10, 36122,20200620,  199,    0
    10, 36122,20200621,  188,    0
    10, 36122,20200622,  185,    0
    10, 36122,20200623,  213,    0
    10, 36122,20200624,  245,    0
    10, 36122,20200625,  247,    0
    10, 36122,20200626,  236,    0
    10, 36122,20200627,  242,    0
    10, 36122,20200628,  237,    0
    10, 36122,20200629,  206,    0
    10, 36122,20200630,  176,    0
    10, 36122,20200701,  168,    0
    10, 36122,20200702,  174,    0
    10, 36122,20200703,  169,    0
    10, 36122,20200704,  152,    0
    10, 36122,20200705,  169,    0
    10, 36122,20200706,  155,    0
    10, 36122,20200707,  157,    0
    10, 36122,20200708,  126,    0
    10, 36122,20200709,  154,    0
    10, 36122,20200710,  158,    0
    10, 36122,20200711,  151,    0
    10, 36122,20200712,  147,    0
    10, 36122,20200713,  153,    0
    10, 36122,20200714,  167,    0
    10, 36122,20200715,  169,    0
    10, 36122,20200716,  195,    0
    10, 36122,20200717,  208,    0
    10, 36122,20200718,  208,    0
    10, 36122,20200719,  220,    0
    10, 36122,20200720,  197,    0
    10, 36122,20200721,  165,    0
    10, 36122,20200722,  160,    0
    10, 36122,20200723,  152,    0
    10, 36122,20200724,  165,    0
    10, 36122,20200725,  170,    0
    10, 36122,20200726,  180,    0
    10, 36122,20200727,  190,    0
    10, 36122,20200728,  169,    0
    10, 36122,20200729,  162,    0
    10, 36122,20200730,  161,    0
    10, 36122,20200731,  175,    0
    10, 36122,20200801,  198,    0
    10, 36122,20200802,  197,    0
    10, 36122,20200803,  183,    0
    10, 36122,20200804,  181,    0
    10, 36122,20200805,  170,    0
    10, 36122,20200806,  205,    0
    10, 36122,20200807,  231,    0
    10, 36122,20200808,  232,    0
    10, 36122,20200809,  208,    0
    10, 36122,20200810,  183,    0
    10, 36122,20200811,  175,    0
    10, 36122,20200812,  197,    0
    10, 36122,20200813,  202,    0
    10, 36122,20200814,  223,    0
    10, 36122,20200815,  235,    0
    10, 36122,20200816,  225,    0
    10, 36122,20200817,  218,    0
    10, 36122,20200818,  225,    0
    10, 36122,20200819,  218,    0
    10, 36122,20200820,  214,    0
    10, 36122,20200821,  213,    0
    10, 36122,20200822,  223,    0
    10, 36122,20200823,  189,    0
    10, 36122,20200824,  173,    0
    10, 36122,20200825,  158,    0
    10, 36122,20200826,  159,    0
    10, 36122,20200827,  150,    0
    10, 36122,20200828,  148,    0
    10, 36122,20200829,  140,    0
    10, 36122,20200830,  147,    0
    10, 36122,20200831,  112,    0
    10, 36122,20200901,  151,    0
    10, 36122,20200902,  146,    0
    10, 36122,20200903,  170,    0
    10, 36122,20200904,  164,    0
    10, 36122,20200905,  155,    0
    10, 36122,20200906,  138,    0
    10, 36122,20200907,  141,    0
    10, 36122,20200908,  149,    0
    10, 36122,20200909,  156,    0
    10, 36122,20200910,  128,    0
    10, 36122,20200911,  131,    0
    10, 36122,20200912,  130,    0
    10, 36122,20200913,  135,    0
    10, 36122,20200914,  158,    0
    10, 36122,20200915,  150,    0
    10, 36122,20200916,  132,    0
    10, 36122,20200917,  103,    0
    10, 36122,20200918,  129,    0
    10, 36122,20200919,  118,    0
    10, 36122,20200920,  119,    0
    10, 36122,20200921,  152,    0
    10, 36122,20200922,  134,    0
    10, 36122,20200923,  143,    0
    10, 36122,20200924,  157,    0
    10, 36122,20200925,  134,    0
    10, 36122,20200926,  148,    0
    10, 36122,20200927,  149,    0
    10, 36122,20200928,  141,    0
    10, 36122,20200929,  139,    0
    10, 36122,20200930,  134,    0
    10, 36122,20201001,  122,    0
    10, 36122,20201002,  136,    0
    10, 36122,20201003,  136,    0
    10, 36122,20201004,  140,    0
    10, 36122,20201005,  143,    0
    10, 36122,20201006,  131,    0
    10, 36122,20201007,  133,    0
    10, 36122,20201008,  128,    0
    10, 36122,20201009,  116,    0
    10, 36122,20201010,  107,    0
    10, 36122,20201011,   88,    0
    10, 36122,20201012,   88,    0
    10, 36122,20201013,   75,    0
    10, 36122,20201014,   68,    0
    10, 36122,20201015,   71,    0
    10, 36122,20201016,   71,    0
    10, 36122,20201017,   80,    0
    10, 36122,20201018,   55,    0
    10, 36122,20201019,   38,    0
    10, 36122,20201020,   43,    0
    10, 36122,20201021,   94,    0
    10, 36122,20201022,  111,    0
    10, 36122,20201023,   65,    0
    10, 36122,20201024,   54,    0
    10, 36122,20201025,   94,    0
    10, 36122,20201026,  111,    0
    10, 36122,20201027,   99,    0
    10, 36122,20201028,   90,    0
    10, 36122,20201029,   88,    0
    10, 36122,20201030,   55,    0
    10, 36122,20201031,   80,    0
    10, 36122,20201101,   98,    0
    10, 36122,20201102,  131,    0
    10, 36122,20201103,  105,    0
    10, 36122,20201104,   68,    0
    10, 36122,20201105,   85,    0
    10, 36122,20201106,  108,    0
    10, 36122,20201107,   92,    0
    10, 36122,20201108,   74,    0
    10, 36122,20201109,   65,    0
    10, 36122,20201110,   52,    0
    10, 36122,20201111,   74,    0
    10, 36122,20201112,   75,    0
    10, 36122,20201113,   74,    0
    10, 36122,20201114,   82,    0
    10, 36122,20201115,   92,    0
    10, 36122,20201116,  102,    0
    10, 36122,20201117,   90,    0
    10, 36122,20201118,  122,    0
    10, 36122,20201119,   64,    0
    10, 36122,20201120,   23,    0
    10, 36122,20201121,   47,    0
    10, 36122,20201122,   67,    0
    10, 36122,20201123,   51,    0
    10, 36122,20201124,   53,    0
    10, 36122,20201125,   88,    0
    10, 36122,20201126,   54,    0
    10, 36122,20201127,   12,    0
    10, 36122,20201128,   13,    0
    10, 36122,20201129,   -1,    0
    10, 36122,20201130,    8,    0
    10, 36122,20201201,   24,    0
    10, 36122,20201202,   32,    0
    10, 36122,20201203,   34,    0
    10, 36122,20201204,   46,    0
    10, 36122,20201205,   70,    0
    10, 36122,20201206,   73,    0
    10, 36122,20201207,   53,    0
    10, 36122,20201208,   32,    0
    10, 36122,20201209,   25,    0
    10, 36122,20201210,   26,    0
    10, 36122,20201211,   29,    0
    10, 36122,20201212,   49,    0
    10, 36122,20201213,   29,    0
    10, 36122,20201214,   22,    0
    10, 36122,20201215,   61,    0
    10, 36122,20201216,   62,    0
    10, 36122,20201217,   54,    0
    10, 36122,20201218,   57,    0
    10, 36122,20201219,   62,    0
    10, 36122,20201220,   62,    0
    10, 36122,20201221,   63,    0
    10, 36122,20201222,   50,    0
    10, 36122,20201223,   45,    0
    10, 36122,20201224,    8,    0
    10, 36122,20201225,   -4,    0
    10, 36122,20201226,   -8,    0
    10, 36122,20201227,   42,    0
    10, 36122,20201228,   42,    0
    10, 36122,20201229,   44,    0
    10, 36122,20201230,   28,    0
    10, 36122,20201231,   37,    0
    10, 36122,20210101,   30,    0
    10, 36122,20210102,   17,    0
    10, 36122,20210103,   -2,    0
    10, 36122,20210104,    4,    0
    10, 36122,20210105,   -5,    0
    10, 36122,20210106,  -17,    0
    10, 36122,20210107,    0,    0
    10, 36122,20210108,    6,    0
    10, 36122,20210109,   -5,    0
    10, 36122,20210110,   -5,    0
    10, 36122,20210111,   -5,    0
    10, 36122,20210112,   -9,    0
    10, 36122,20210113,   -9,    0
    10, 36122,20210114,  -40,    0
    10, 36122,20210115,  -77,    0
    10, 36122,20210116,  -30,    0
    10, 36122,20210117,  -19,    0
    10, 36122,20210118,  -14,    0
    10, 36122,20210119,    2,    0
    10, 36122,20210120,    9,    0
    10, 36122,20210121,   40,    0
    10, 36122,20210122,   40,    0
    10, 36122,20210123,   37,    0
    10, 36122,20210124,    3,    0
    10, 36122,20210125,   -6,    0
    10, 36122,20210126,  -27,    0
    10, 36122,20210127,  -44,    0
    10, 36122,20210128,  -36,    0
    10, 36122,20210129,  -36,    0
    10, 36122,20210130,  -77,    0
    10, 36122,20210131,  -86,    0
    10, 36122,20210201,  -62,    0
    10, 36122,20210202,  -24,    0
    10, 36122,20210203,  -58,    0
    10, 36122,20210204,  -83,    0
    10, 36122,20210205,  -78,    0
    10, 36122,20210206,  -76,    0
    10, 36122,20210207,  -76,    0
    10, 36122,20210208,  -73,    0
    10, 36122,20210209,  -77,    0
    10, 36122,20210210,  -88,    0
    10, 36122,20210211,  -96,    0
    10, 36122,20210212,  -65,    0
    10, 36122,20210213,  -50,    0
    10, 36122,20210214,  -23,    0
    10, 36122,20210215,  -37,    0
    10, 36122,20210216,  -37,    0
    10, 36122,20210217,  -34,    0
    10, 36122,20210218,  -28,    0
    10, 36122,20210219,    9,    0
    10, 36122,20210220,   33,    0
    10, 36122,20210221,   52,    0
    10, 36122,20210222,   38,    0
    10, 36122,20210223,   34,    0
    10, 36122,20210224,   67,    0
    10, 36122,20210225,   95,    0
    10, 36122,20210226,   69,    0
    10, 36122,20210227,   42,    0
    10, 36122,20210228,   64,    0
    10, 36122,20210301,   46,    0
    10, 36122,20210302,   57,    0
    10, 36122,20210303,   27,    0
    10, 36122,20210304,   -1,    0
    10, 36122,20210305,  -12,    0
    10, 36122,20210306,   32,    0
    10, 36122,20210307,   11,    0
    10, 36122,20210308,   -5,    0
    10, 36122,20210309,  -11,    0
    10, 36122,20210310,  -40,    0
    10, 36122,20210311,    0,    0
    10, 36122,20210312,   35,    0
    10, 36122,20210313,   31,    0
    10, 36122,20210314,   30,    0
    10, 36122,20210315,   38,    0
    10, 36122,20210316,   23,    0
    10, 36122,20210317,   11,    0
    10, 36122,20210318,    1,    0
    10, 36122,20210319,  -17,    0
    10, 36122,20210320,   35,    0
    10, 36122,20210321,   40,    0
    10, 36122,20210322,   60,    0
    10, 36122,20210323,   88,    0
    10, 36122,20210324,   74,    0
    10, 36122,20210325,   72,    0
    10, 36122,20210326,   73,    0
    10, 36122,20210327,   70,    0
    10, 36122,20210328,   51,    0
    10, 36122,20210329,   93,    0
    10, 36122,20210330,  115,    0
    10, 36122,20210331,   78,    0
    10, 36122,20210401,   54,    0
    10, 36122,20210402,   49,    0
    10, 36122,20210403,   52,    0
    10, 36122,20210404,   78,    0
    10, 36122,20210405,   35,    0
    10, 36122,20210406,   43,    0
    10, 36122,20210407,   39,    0
    10, 36122,20210408,   39,    0
    10, 36122,20210409,   46,    0
    10, 36122,20210410,   55,    0
    10, 36122,20210411,   44,    0
    10, 36122,20210412,   54,    0
    10, 36122,20210413,   44,    0
    10, 36122,20210414,   40,    0
